region,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine / pneumology,nr_interactions_Internal medicine / pneumology,unique_hcp_count_Internal medicine,activity_count_Internal medicine,nr_interactions_Internal medicine,market_potential_Internal medicine,content_count_Internal medicine / pneumology,mails_sent_Internal medicine / pneumology,unique_content_count_Internal medicine / pneumology,hcp_count_Internal medicine / pneumology,mails_per_hcp_Internal medicine / pneumology,unique_content_count_Internal medicine,content_count_Internal medicine,mails_sent_Internal medicine,content_count_General practicioner,mails_sent_General practicioner
region_118,311316,4469.15820453,41460.329717448665,43261.443759558446,174,4,230,7,44,3.0,9.0,9.0,12.0,21.0,21.0,3421435.3000000003,4.0,4.0,4.0,3.0,1.3333333333333333,7.0,25.0,25.0,65.0,65.0
region_119,329601,1475.592368275,47762.70492140293,49450.83335672065,158,9,196,1,40,7.0,31.0,33.0,20.0,54.0,58.0,4455830.79,5.0,5.0,4.0,6.0,0.8333333333333334,5.0,12.0,12.0,25.0,25.0
region_120,295104,1515.2463563699998,37587.76570942719,39899.804520287806,183,9,149,0,52,6.0,39.0,45.0,13.0,25.0,29.0,3888017.610000001,38.0,38.0,13.0,8.0,4.75,11.0,18.0,18.0,6.0,6.0
region_121,460276,9206.65557772,39050.252471103886,41542.62919406537,361,19,256,2,111,6.0,19.0,25.0,4.0,4.0,4.0,7981287.219999999,61.0,61.0,17.0,8.0,7.625,8.0,66.0,66.0,138.0,138.0
region_122,335968,416.6086413050001,38027.8298460016,39058.46124932333,277,25,163,2,45,12.0,46.0,55.0,23.0,28.0,28.0,5335549.500000001,39.0,39.0,10.0,14.0,2.7857142857142856,21.0,279.0,279.0,473.0,473.0
region_123,479149,4959.219208320001,44052.47967412043,46484.08356658933,448,31,356,3,83,14.0,30.0,36.0,14.0,28.0,29.0,7236248.56,13.0,13.0,6.0,16.0,0.8125,5.0,12.0,12.0,48.0,48.0
region_124,354406,1457.7577504699998,45113.68108180971,46098.726288886704,196,7,162,0,57,6.0,28.0,38.0,12.0,12.0,13.0,6497046.980000001,44.0,44.0,13.0,6.0,7.333333333333333,12.0,41.0,41.0,48.0,48.0
region_125,366121,2397.403402265,46257.25233215537,47946.30648425155,160,7,253,1,52,5.0,18.0,23.0,5.0,7.0,7.0,5634750.710000001,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
region_126,320570,801.38097818,41114.92,42843.64,227,18,167,0,82,14.0,99.0,129.0,7.0,18.0,23.0,6292717.960000001,126.0,126.0,28.0,15.0,8.4,9.0,44.0,44.0,32.0,32.0
region_127,547068,6396.314308025,48518.205716833865,51052.264521926285,489,19,470,3,128,14.0,28.0,30.0,26.0,34.0,36.0,8280020.49,27.0,27.0,9.0,15.0,1.8,5.0,33.0,33.0,61.0,61.0
region_128,301446,888.335822715,39077.1099989826,38103.09110635517,308,17,179,1,51,9.0,68.0,112.0,30.0,64.0,68.0,5795634.7700000005,27.0,27.0,10.0,14.0,1.9285714285714288,4.0,10.0,10.0,6.0,6.0
region_129,290982,433.42087367,45046.7489711906,47004.237201665805,141,7,157,2,56,6.0,20.0,24.0,14.0,21.0,22.0,5157128.649999999,2.0,2.0,1.0,5.0,0.4,1.0,5.0,5.0,15.0,15.0
region_130,333102,3186.47850519,43023.98283073583,44434.53943890139,279,15,245,1,80,7.0,30.0,41.0,18.0,45.0,46.0,5515496.25,61.0,61.0,11.0,11.0,5.545454545454546,12.0,165.0,165.0,355.0,355.0
region_131,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,9.0,68.0,87.0,42.0,133.0,157.0,9771452.800000004,50.0,50.0,14.0,12.0,4.166666666666667,13.0,144.0,144.0,276.0,276.0
region_132,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,14.0,81.0,134.0,44.0,99.0,111.0,9740842.179999998,103.0,103.0,25.0,15.0,6.866666666666666,14.0,155.0,155.0,256.0,256.0
region_133,301745,1700.8901509399998,47293.516396584026,49851.954655522895,149,4,208,0,53,3.0,14.0,14.0,12.0,22.0,23.0,5101049.139999999,12.0,12.0,12.0,2.0,6.0,11.0,51.0,51.0,86.0,86.0
region_134,330895,1185.616592415,58016.33152284889,63253.82473784784,236,26,264,0,69,14.0,92.0,107.0,9.0,10.0,11.0,5502645.14,81.0,81.0,19.0,11.0,7.363636363636363,4.0,7.0,7.0,27.0,27.0
region_135,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,11.0,39.0,60.0,15.0,27.0,30.0,6110630.529999999,13.0,13.0,4.0,14.0,0.9285714285714286,3.0,27.0,27.0,38.0,38.0
region_136,302082,1519.44778533,48695.51342317437,52545.89229382636,134,6,156,1,44,0.0,0.0,0.0,5.0,5.0,5.0,3508836.960000001,0.0,0.0,0.0,0.0,0.0,2.0,23.0,23.0,43.0,43.0
region_137,348086,4164.570398015,46186.5592866436,47424.04679007741,264,17,280,4,70,5.0,13.0,13.0,35.0,42.0,42.0,5354417.08,32.0,32.0,14.0,9.0,3.555555555555556,7.0,55.0,55.0,78.0,78.0
region_138,294282,2862.656662375,42983.715631831335,45145.98131152131,176,7,155,14,39,7.0,37.0,49.0,9.0,17.0,19.0,4167984.12,19.0,19.0,15.0,3.0,6.333333333333333,7.0,45.0,45.0,125.0,125.0
region_139,297406,1285.352745595,47256.37179516038,49370.94623147627,227,6,193,1,120,5.0,10.0,12.0,4.0,6.0,6.0,3412683.1800000006,1.0,1.0,1.0,3.0,0.3333333333333333,2.0,2.0,2.0,0.0,0.0
region_140,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,8.0,9.0,9.0,9.0,11.0,12.0,6843535.3100000005,15.0,15.0,4.0,10.0,1.5,5.0,26.0,26.0,78.0,78.0
region_141,299581,224.197318435,58135.35625783255,63453.55722668387,194,9,167,3,70,2.0,5.0,7.0,0.0,0.0,0.0,2365808.8000000003,5.0,5.0,3.0,4.0,1.25,1.0,10.0,10.0,10.0,10.0
region_142,543989,730.58755008,47906.89504039801,49401.83082252559,326,26,212,1,58,13.0,63.0,73.0,32.0,41.0,44.0,11294991.86,20.0,20.0,15.0,14.0,1.4285714285714286,16.0,265.0,265.0,178.0,178.0
region_143,314806,2534.158220455,47367.52382688499,49336.47839500663,184,6,154,2,32,4.0,24.0,31.0,11.0,15.0,15.0,4108349.35,14.0,14.0,8.0,3.0,4.666666666666667,4.0,22.0,22.0,39.0,39.0
region_144,299283,3885.579164165,40927.1648458997,42670.96205636806,123,4,165,3,26,1.0,8.0,12.0,3.0,10.0,12.0,4553174.55,0.0,0.0,0.0,0.0,0.0,17.0,29.0,29.0,21.0,21.0
region_145,401064,6216.07241229,41073.71651472008,42863.373102084304,292,15,233,0,25,9.0,33.0,41.0,4.0,5.0,6.0,7146645.94,112.0,112.0,23.0,12.0,9.333333333333334,18.0,54.0,54.0,67.0,67.0
region_146,318320,1343.252950395,38835.608064370106,40121.11202265365,179,10,134,2,48,4.0,14.0,16.0,18.0,24.0,26.0,4713009.03,44.0,44.0,17.0,6.0,7.333333333333333,11.0,179.0,179.0,393.0,393.0
region_147,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,10.0,44.0,58.0,4.0,5.0,5.0,6111912.43,36.0,36.0,12.0,13.0,2.769230769230769,5.0,48.0,48.0,54.0,54.0
region_148,317306,2356.435878145,45486.02729761217,47191.59323256421,316,14,283,3,100,7.0,24.0,32.0,9.0,10.0,11.0,6432939.579999999,40.0,40.0,15.0,8.0,5.0,14.0,127.0,127.0,396.0,396.0
region_149,351807,495.716787085,41728.04162883929,42871.90103369104,221,16,175,2,68,9.0,21.0,28.0,8.0,9.0,9.0,7862356.959999999,9.0,9.0,5.0,9.0,1.0,17.0,84.0,84.0,46.0,46.0
region_150,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,8.0,41.0,55.0,51.0,92.0,98.0,9670167.81,9.0,9.0,6.0,10.0,0.9,7.0,42.0,42.0,153.0,153.0
