hcp,tier,region,specialty
27537,1,region_52,Internal medicine / pneumology
27573,1,region_12,Internal medicine
27599,1,region_170,Internal medicine / pneumology
27608,1,region_171,Internal medicine / pneumology
27624,1,region_76,Internal medicine / pneumology
27656,2,region_7,Internal medicine / pneumology
27665,1,region_159,Internal medicine / pneumology
27718,2,region_42,Internal medicine
27728,1,region_17,Internal medicine / pneumology
27729,1,region_147,Internal medicine / pneumology
27732,1,region_61,Internal medicine / pneumology
27753,2,region_45,General practicioner
27754,1,region_85,Internal medicine / pneumology
27758,1,region_153,Internal medicine / pneumology
27820,2,region_115,Internal medicine
27833,1,region_94,Internal medicine / pneumology
27836,2,region_164,Internal medicine
27841,1,region_51,Internal medicine / pneumology
27844,2,region_45,Internal medicine
27846,1,region_12,Internal medicine / pneumology
27854,3,region_137,General practicioner
27855,2,region_13,General practicioner
27892,2,region_26,Internal medicine
27895,2,region_181,Internal medicine
27896,2,region_66,Internal medicine
27911,2,region_68,General practicioner
27917,2,region_71,General practicioner
27921,1,region_108,Internal medicine / pneumology
27922,2,region_11,General practicioner
27965,1,region_172,Internal medicine / pneumology
27975,2,region_130,General practicioner
27977,2,region_115,Internal medicine and general practicioner
27983,1,region_130,Internal medicine / pneumology
27984,1,region_130,Internal medicine / pneumology
28000,2,region_23,General practicioner
28029,1,region_64,Internal medicine / pneumology
28036,1,region_8,Internal medicine / pneumology
28043,2,region_156,Internal medicine and general practicioner
28064,2,region_162,Internal medicine and general practicioner
28066,2,region_142,Internal medicine
28075,2,region_147,Internal medicine
28083,2,region_10,Internal medicine
28084,2,region_10,Internal medicine
28087,1,region_148,Internal medicine / pneumology
28127,3,region_109,General practicioner
28136,2,region_158,General practicioner
28153,2,region_68,General practicioner
28176,3,region_150,Internal medicine
28219,2,region_33,Internal medicine
28239,1,region_4,Internal medicine
28249,2,region_95,Internal medicine
28258,3,region_112,General practicioner
28265,1,region_108,Internal medicine / pneumology
28298,2,region_131,General practicioner
28299,2,region_131,General practicioner
28303,1,region_193,Internal medicine / pneumology
28311,2,region_90,Internal medicine
28313,2,region_30,General practicioner
28318,2,region_25,General practicioner
28342,1,region_154,Internal medicine / pneumology
28348,2,region_49,General practicioner
28351,1,region_35,Internal medicine / pneumology
28356,1,region_164,Internal medicine / pneumology
28368,1,region_77,Internal medicine / pneumology
28369,2,region_132,Internal medicine
28370,2,region_86,General practicioner
28385,2,region_10,General practicioner
28398,1,region_158,Internal medicine / pneumology
28404,3,region_137,General practicioner
28434,1,region_61,Internal medicine / pneumology
28496,1,region_69,Internal medicine / pneumology
28519,1,region_148,Internal medicine / pneumology
28526,1,region_159,Internal medicine / pneumology
28554,1,region_120,Internal medicine / pneumology
28556,1,region_7,Internal medicine / pneumology
28563,1,region_78,Internal medicine / pneumology
28583,1,region_162,Internal medicine / pneumology
28584,1,region_123,Internal medicine / pneumology
28586,1,region_150,Internal medicine / pneumology
28604,2,region_163,Internal medicine / pneumology
28626,1,region_33,Internal medicine
28636,1,region_108,Internal medicine / pneumology
28665,1,region_0,Internal medicine / pneumology
28673,1,region_185,Internal medicine / pneumology
28688,2,region_97,Internal medicine
28698,1,region_0,Internal medicine / pneumology
28708,1,region_120,Internal medicine / pneumology
28729,1,region_63,Internal medicine / pneumology
28735,2,region_57,Internal medicine
28743,2,region_157,General practicioner
28768,1,region_32,Internal medicine / pneumology
28786,2,region_13,Internal medicine
28788,3,region_195,General practicioner
28804,2,region_6,General practicioner
28823,1,region_95,Internal medicine / pneumology
28826,1,region_120,Internal medicine / pneumology
28828,2,region_83,Internal medicine
28831,1,region_108,Internal medicine / pneumology
28842,2,region_126,Internal medicine
28858,2,region_49,Internal medicine
28861,2,region_193,Internal medicine
28876,2,region_94,Internal medicine
28879,2,region_15,General practicioner
28883,2,region_171,Internal medicine
28904,2,region_5,General practicioner
28905,1,region_48,Internal medicine / pneumology
28908,2,region_190,General practicioner
28913,2,region_29,General practicioner
28918,2,region_168,Internal medicine
28921,2,region_138,Internal medicine and general practicioner
28922,1,region_15,General practicioner
28934,2,region_149,General practicioner
28936,1,region_90,Internal medicine / pneumology
28938,1,region_29,Internal medicine / pneumology
28946,1,region_76,Internal medicine
28971,2,region_138,General practicioner
28981,3,region_134,General practicioner
28984,2,region_52,General practicioner
28990,1,region_87,Internal medicine / pneumology
29007,1,region_160,Internal medicine / pneumology
29097,2,region_96,General practicioner
29104,1,region_185,Internal medicine
29122,2,region_181,Internal medicine
29139,2,region_140,General practicioner
29148,2,region_156,General practicioner
29149,1,region_61,Internal medicine / pneumology
29155,2,region_43,Internal medicine
29172,2,region_140,Internal medicine
29178,2,region_110,General practicioner
29201,3,region_134,Internal medicine
29206,1,region_43,Internal medicine / pneumology
29207,1,region_43,Internal medicine / pneumology
29228,2,region_108,Internal medicine
29242,1,region_189,Internal medicine / pneumology
29248,2,region_45,Internal medicine
29259,3,region_72,Internal medicine
29270,1,region_39,Internal medicine / pneumology
29275,1,region_179,Internal medicine / pneumology
29282,1,region_150,Internal medicine / pneumology
29290,2,region_131,General practicioner
29305,2,region_88,General practicioner
29306,2,region_164,Internal medicine
29318,1,region_83,Internal medicine / pneumology
29322,1,region_35,Internal medicine / pneumology
29346,1,region_39,Internal medicine / pneumology
29353,1,region_63,Internal medicine / pneumology
29362,2,region_46,Internal medicine
29372,1,region_90,Internal medicine
29374,1,region_67,Internal medicine / pneumology
29405,1,region_122,Internal medicine / pneumology
29443,1,region_141,Internal medicine / pneumology
29465,2,region_111,Internal medicine
29476,2,region_110,Internal medicine
29491,1,region_132,Internal medicine / pneumology
29496,1,region_78,Internal medicine / pneumology
29520,1,region_21,Internal medicine / pneumology
29527,1,region_126,Internal medicine / pneumology
29538,1,region_47,Internal medicine / pneumology
29540,1,region_71,Internal medicine / pneumology
29542,1,region_69,Internal medicine / pneumology
29550,1,region_182,Internal medicine / pneumology
29599,2,region_95,Internal medicine
29625,1,region_38,Internal medicine / pneumology
29637,2,region_24,General practicioner
29652,2,region_110,General practicioner
29664,2,region_178,General practicioner
29666,1,region_130,Internal medicine / pneumology
29667,2,region_162,General practicioner
29730,3,region_109,General practicioner
29732,2,region_1,General practicioner
29755,2,region_131,Internal medicine and general practicioner
29761,2,region_110,General practicioner
29776,3,region_131,Internal medicine
29783,1,region_96,Internal medicine / pneumology
29791,1,region_83,Internal medicine / pneumology
29814,2,region_3,General practicioner
29824,2,region_49,Internal medicine
29827,1,region_127,Internal medicine / pneumology
29828,2,region_55,General practicioner
29829,2,region_13,Internal medicine
29840,2,region_7,General practicioner
29885,2,region_11,Internal medicine
29924,2,region_86,General practicioner
29932,2,region_88,Internal medicine
29952,2,region_114,Internal medicine
29972,3,region_166,General practicioner
29977,2,region_157,General practicioner
30005,2,region_86,General practicioner
30008,1,region_187,Internal medicine / pneumology
30013,2,region_181,Internal medicine
30024,1,region_66,Internal medicine / pneumology
30032,2,region_87,General practicioner
30064,2,region_71,General practicioner
30065,2,region_5,General practicioner
30066,3,region_58,Internal medicine
30117,2,region_110,General practicioner
30133,2,region_168,General practicioner
30186,1,region_179,Internal medicine / pneumology
30188,2,region_6,General practicioner
30209,1,region_165,Internal medicine / pneumology
30227,2,region_179,Internal medicine
30233,2,region_70,Internal medicine
30236,2,region_140,General practicioner
30273,1,region_48,Internal medicine / pneumology
30318,2,region_64,Internal medicine
30330,1,region_162,Internal medicine / pneumology
30364,1,region_128,Internal medicine
30378,2,region_143,Internal medicine / pneumology
30449,1,region_157,Internal medicine / pneumology
30462,1,region_188,Internal medicine / pneumology
30473,1,region_7,Internal medicine / pneumology
30474,1,region_34,Internal medicine / pneumology
30481,1,region_76,Internal medicine / pneumology
30486,1,region_109,Internal medicine / pneumology
30502,1,region_131,Internal medicine / pneumology
30519,1,region_176,Internal medicine / pneumology
30576,2,region_101,General practicioner
30584,2,region_194,Internal medicine
30592,2,region_15,General practicioner
30604,2,region_140,General practicioner
30609,1,region_19,Internal medicine / pneumology
30627,2,region_94,Internal medicine
30638,1,region_13,Internal medicine / pneumology
30645,2,region_146,Internal medicine and general practicioner
30650,2,region_97,General practicioner
30681,2,region_147,Internal medicine
30719,2,region_54,General practicioner
30725,2,region_88,General practicioner
30736,1,region_135,Internal medicine / pneumology
30752,2,region_84,General practicioner
30766,2,region_157,Internal medicine
30774,1,region_177,Internal medicine / pneumology
30792,2,region_181,General practicioner
30809,2,region_49,General practicioner
30818,3,region_180,General practicioner
30822,2,region_31,Internal medicine
30833,2,region_69,General practicioner
30837,1,region_162,Internal medicine
30849,1,region_79,Internal medicine / pneumology
30850,2,region_127,Internal medicine
30861,2,region_137,General practicioner
30868,1,region_24,Internal medicine / pneumology
30919,1,region_149,Internal medicine / pneumology
30933,2,region_49,General practicioner
30939,2,region_195,General practicioner
30982,1,region_119,Internal medicine / pneumology
30987,2,region_87,General practicioner
30993,2,region_1,General practicioner
31007,2,region_80,Internal medicine
31022,1,region_91,Internal medicine
31037,3,region_93,General practicioner
31038,1,region_61,Internal medicine / pneumology
31044,2,region_52,General practicioner
31093,2,region_71,General practicioner
31094,2,region_32,General practicioner
31123,1,region_173,Internal medicine / pneumology
31129,1,region_181,Internal medicine / pneumology
31130,2,region_183,General practicioner
31199,2,region_103,Internal medicine
31218,2,region_1,General practicioner
31229,2,region_110,Internal medicine
31230,2,region_198,General practicioner
31256,1,region_175,Internal medicine / pneumology
31271,1,region_173,Internal medicine / pneumology
31281,1,region_169,Internal medicine / pneumology
31286,1,region_99,Internal medicine / pneumology
31294,1,region_161,Internal medicine / pneumology
31307,1,region_98,Internal medicine / pneumology
31323,2,region_48,General practicioner
31352,1,region_185,Internal medicine / pneumology
31355,1,region_17,Internal medicine / pneumology
31371,1,region_132,Internal medicine / pneumology
31374,1,region_3,Internal medicine / pneumology
31387,1,region_149,Internal medicine / pneumology
31396,1,region_78,Internal medicine / pneumology
31397,2,region_35,Internal medicine / pneumology
31402,1,region_70,Internal medicine / pneumology
31427,1,region_147,Internal medicine
31434,2,region_168,Internal medicine
31463,2,region_40,Internal medicine / pneumology
31475,2,region_101,General practicioner
31480,2,region_45,Internal medicine
31496,1,region_142,Internal medicine / pneumology
31503,2,region_45,Internal medicine
31510,2,region_146,General practicioner
31528,2,region_29,Internal medicine
31545,2,region_71,Internal medicine
31553,2,region_167,General practicioner
31560,3,region_106,Internal medicine
31565,1,region_131,Internal medicine / pneumology
31591,2,region_110,General practicioner
31608,2,region_139,General practicioner
31613,2,region_66,General practicioner
31614,2,region_29,General practicioner
31633,2,region_150,Internal medicine
31656,2,region_156,General practicioner
31676,2,region_48,General practicioner
31690,2,region_138,Internal medicine and general practicioner
31705,2,region_143,Internal medicine
31707,1,region_140,Internal medicine / pneumology
31739,2,region_75,Internal medicine
31760,2,region_135,General practicioner
31768,2,region_70,Internal medicine
31787,2,region_41,General practicioner
31814,2,region_95,Internal medicine
31815,2,region_95,Internal medicine
31822,2,region_198,General practicioner
31828,1,region_93,Internal medicine / pneumology
31840,2,region_200,Internal medicine
31857,2,region_56,Internal medicine / pneumology
31882,1,region_124,Internal medicine / pneumology
31891,2,region_186,General practicioner
31905,2,region_69,General practicioner
31907,2,region_84,General practicioner
31913,1,region_8,Internal medicine
31929,2,region_156,Internal medicine
31932,2,region_74,General practicioner
31950,2,region_162,General practicioner
31962,1,region_85,Internal medicine / pneumology
31982,2,region_138,General practicioner
32000,2,region_130,General practicioner
32006,2,region_185,General practicioner
32015,1,region_67,Internal medicine / pneumology
32028,1,region_198,Internal medicine / pneumology
32031,2,region_113,General practicioner
32034,2,region_25,General practicioner
32037,1,region_116,Internal medicine / pneumology
32044,2,region_69,General practicioner
32049,2,region_53,Internal medicine
32052,1,region_23,Internal medicine / pneumology
32072,1,region_45,Internal medicine / pneumology
32083,2,region_131,General practicioner
32104,1,region_176,Internal medicine / pneumology
32111,1,region_148,Internal medicine / pneumology
32120,2,region_136,General practicioner
32137,1,region_164,Internal medicine / pneumology
32157,2,region_94,Internal medicine
32158,2,region_94,Internal medicine
32174,3,region_134,General practicioner
32193,1,region_186,Internal medicine / pneumology
32194,1,region_121,Internal medicine / pneumology
32246,1,region_77,Internal medicine / pneumology
32258,1,region_78,Internal medicine / pneumology
32263,1,region_46,Internal medicine / pneumology
32283,1,region_63,Internal medicine / pneumology
32297,1,region_167,Internal medicine
32298,2,region_130,General practicioner
32310,1,region_94,Internal medicine / pneumology
32321,2,region_194,Internal medicine
32335,1,region_129,Internal medicine / pneumology
32347,2,region_37,General practicioner
32378,1,region_191,Internal medicine / pneumology
32384,2,region_152,Internal medicine / pneumology
32393,1,region_135,Internal medicine / pneumology
32457,2,region_6,Internal medicine
32463,2,region_94,General practicioner
32468,2,region_6,General practicioner
32482,1,region_142,Internal medicine / pneumology
32523,2,region_83,General practicioner
32528,3,region_166,General practicioner
32533,2,region_70,General practicioner
32536,1,region_102,Internal medicine
32538,2,region_110,General practicioner
32560,1,region_197,Internal medicine / pneumology
32582,2,region_6,General practicioner
32594,2,region_115,Internal medicine
32598,1,region_52,Internal medicine / pneumology
32609,2,region_68,Internal medicine
32621,2,region_13,General practicioner
32622,1,region_17,Internal medicine / pneumology
32633,2,region_88,Internal medicine
32660,2,region_69,General practicioner
32662,3,region_112,General practicioner
32667,2,region_5,General practicioner
32681,1,region_63,Internal medicine / pneumology
32682,1,region_63,Internal medicine / pneumology
32695,2,region_69,Internal medicine
32714,2,region_49,Internal medicine
32715,2,region_49,General practicioner
32718,2,region_174,General practicioner
32726,2,region_101,General practicioner
32746,1,region_158,Internal medicine
32792,1,region_181,Internal medicine / pneumology
32808,2,region_133,Internal medicine
32827,2,region_156,Internal medicine
32854,2,region_133,Internal medicine
32892,2,region_113,General practicioner
32895,2,region_86,Internal medicine
32897,2,region_186,General practicioner
32919,2,region_81,Internal medicine
32927,2,region_28,Internal medicine
32928,2,region_53,Internal medicine
32942,2,region_88,General practicioner
32947,2,region_182,Internal medicine
32952,1,region_150,Internal medicine / pneumology
32972,2,region_138,General practicioner
33007,2,region_115,General practicioner
33012,2,region_150,Internal medicine
33033,2,region_0,General practicioner
33075,1,region_169,Internal medicine / pneumology
33113,2,region_53,Internal medicine
33130,2,region_117,Internal medicine
33142,2,region_52,General practicioner
33146,2,region_86,General practicioner
33163,2,region_43,Internal medicine
33177,2,region_55,Internal medicine / pneumology
33194,2,region_124,General practicioner
33198,1,region_177,Internal medicine / pneumology
33212,2,region_70,Internal medicine
33219,1,region_106,Internal medicine / pneumology
33252,2,region_7,Internal medicine / pneumology
33268,1,region_55,Internal medicine / pneumology
33282,1,region_196,Internal medicine / pneumology
33296,1,region_163,Internal medicine / pneumology
33300,1,region_90,Internal medicine / pneumology
33312,2,region_115,Internal medicine / pneumology
33320,1,region_89,Internal medicine / pneumology
33325,1,region_27,Internal medicine / pneumology
33350,1,region_32,Internal medicine / pneumology
33352,1,region_127,Internal medicine / pneumology
33362,2,region_30,General practicioner
33367,2,region_11,General practicioner
33373,1,region_89,Internal medicine / pneumology
33389,2,region_142,Internal medicine
33405,2,region_115,General practicioner
33443,1,region_30,Internal medicine / pneumology
33462,3,region_118,Internal medicine
33470,2,region_131,Internal medicine
33493,2,region_154,General practicioner
33495,2,region_173,General practicioner
33498,2,region_69,General practicioner
33500,2,region_26,General practicioner
33518,1,region_95,Internal medicine / pneumology
33529,2,region_174,General practicioner
33534,2,region_39,General practicioner
33542,2,region_78,General practicioner
33568,2,region_183,General practicioner
33589,1,region_127,Internal medicine / pneumology
33603,2,region_186,General practicioner
33614,2,region_14,Internal medicine
33616,2,region_111,Internal medicine
33620,2,region_171,General practicioner
33628,1,region_82,Internal medicine
33632,2,region_0,General practicioner
33640,2,region_190,Internal medicine
33648,2,region_52,General practicioner
33650,2,region_198,General practicioner
33652,2,region_41,Internal medicine
33662,2,region_177,General practicioner
33664,2,region_63,Internal medicine
33671,2,region_88,General practicioner
33689,1,region_128,Internal medicine / pneumology
33708,2,region_22,General practicioner
33717,2,region_88,General practicioner
33721,1,region_100,Internal medicine / pneumology
33747,3,region_150,Internal medicine
33758,1,region_15,Internal medicine / pneumology
33764,1,region_49,Internal medicine / pneumology
33771,2,region_68,General practicioner
33818,2,region_127,General practicioner
33824,2,region_89,Internal medicine
33842,2,region_171,General practicioner
33857,2,region_88,General practicioner
33866,1,region_132,Internal medicine / pneumology
33870,1,region_173,Internal medicine / pneumology
33871,2,region_124,Internal medicine
33876,2,region_177,Internal medicine
33881,2,region_80,General practicioner
33914,2,region_157,General practicioner
33918,2,region_57,General practicioner
33919,3,region_118,General practicioner
33937,2,region_71,Internal medicine
33966,2,region_200,General practicioner
33970,1,region_157,Internal medicine / pneumology
33978,1,region_23,Internal medicine / pneumology
33979,2,region_144,General practicioner
33993,2,region_158,Internal medicine
34020,2,region_12,General practicioner
34070,2,region_88,General practicioner
34107,1,region_161,Internal medicine / pneumology
34110,2,region_131,Internal medicine
34127,1,region_142,Internal medicine / pneumology
34129,1,region_155,Internal medicine / pneumology
34130,1,region_102,Internal medicine / pneumology
34148,1,region_66,Internal medicine / pneumology
34169,1,region_140,Internal medicine / pneumology
34186,1,region_137,Internal medicine / pneumology
34234,1,region_92,Internal medicine / pneumology
34244,1,region_28,Internal medicine / pneumology
34256,1,region_76,Internal medicine / pneumology
34276,2,region_83,Internal medicine / pneumology
34310,1,region_86,Internal medicine / pneumology
34324,1,region_160,Internal medicine / pneumology
34326,1,region_138,Internal medicine / pneumology
34339,2,region_33,General practicioner
34340,2,region_154,General practicioner
34344,1,region_93,Internal medicine / pneumology
34351,1,region_143,Internal medicine / pneumology
34352,1,region_37,Internal medicine / pneumology
34369,2,region_169,Internal medicine
34371,3,region_109,Internal medicine
34429,2,region_97,General practicioner
34447,1,region_159,Internal medicine
34449,1,region_152,Internal medicine / pneumology
34454,1,region_30,Internal medicine / pneumology
34462,2,region_123,General practicioner
34463,2,region_83,Internal medicine
34471,1,region_108,Internal medicine / pneumology
34481,2,region_138,General practicioner
34484,2,region_45,Internal medicine
34491,2,region_144,Internal medicine
34504,2,region_183,General practicioner
34512,2,region_110,Internal medicine
34514,3,region_109,General practicioner
34520,1,region_19,General practicioner
34535,2,region_37,Internal medicine
34559,1,region_185,Internal medicine / pneumology
34572,3,region_150,General practicioner
34577,3,region_112,General practicioner
34589,2,region_171,General practicioner
34598,2,region_19,Internal medicine
34605,2,region_111,General practicioner
34613,3,region_178,Internal medicine
34619,2,region_172,General practicioner
34624,1,region_134,Internal medicine / pneumology
34631,2,region_11,General practicioner
34633,1,region_160,Internal medicine / pneumology
34650,1,region_63,Internal medicine / pneumology
34654,1,region_88,Internal medicine / pneumology
34666,2,region_135,Internal medicine
34679,3,region_166,General practicioner
34683,2,region_94,General practicioner
34722,1,region_24,Internal medicine / pneumology
34733,1,region_127,Internal medicine / pneumology
34741,2,region_140,Internal medicine
34742,2,region_154,General practicioner
34755,1,region_24,Internal medicine / pneumology
34770,2,region_14,General practicioner
34774,1,region_55,Internal medicine / pneumology
34786,2,region_33,General practicioner
34790,2,region_60,Internal medicine
34795,1,region_145,Internal medicine / pneumology
34798,2,region_13,General practicioner
34799,1,region_55,Internal medicine / pneumology
34805,2,region_71,Internal medicine and general practicioner
34806,1,region_118,Internal medicine / pneumology
34831,2,region_81,Internal medicine / pneumology
34838,1,region_124,Internal medicine / pneumology
34839,1,region_122,Internal medicine / pneumology
34856,2,region_146,Internal medicine
34859,2,region_3,General practicioner
34873,2,region_165,General practicioner
34911,1,region_45,Internal medicine / pneumology
34941,2,region_66,General practicioner
34955,2,region_30,General practicioner
34959,2,region_54,Internal medicine
34963,2,region_110,General practicioner
34984,1,region_85,Internal medicine / pneumology
34987,2,region_127,General practicioner
35001,1,region_11,Internal medicine / pneumology
35007,2,region_198,General practicioner
35009,2,region_162,General practicioner
35014,2,region_196,General practicioner
35028,1,region_189,Internal medicine / pneumology
35066,1,region_170,Internal medicine / pneumology
35097,1,region_24,Internal medicine / pneumology
35098,2,region_27,Internal medicine
35120,1,region_177,Internal medicine / pneumology
35154,1,region_179,Internal medicine / pneumology
35173,1,region_132,Internal medicine / pneumology
35179,1,region_129,Internal medicine / pneumology
35187,1,region_178,Internal medicine / pneumology
35190,2,region_85,Internal medicine
35197,1,region_170,Internal medicine / pneumology
35200,1,region_193,Internal medicine / pneumology
35205,1,region_130,Internal medicine / pneumology
35220,1,region_181,Internal medicine / pneumology
35271,2,region_71,General practicioner
35275,2,region_33,General practicioner
35279,1,region_54,Internal medicine / pneumology
35282,1,region_165,Internal medicine / pneumology
35291,1,region_26,Internal medicine / pneumology
35292,2,region_71,Internal medicine and general practicioner
35330,1,region_34,Internal medicine / pneumology
35337,1,region_78,Internal medicine / pneumology
35343,2,region_11,General practicioner
35353,2,region_136,General practicioner
35356,2,region_188,General practicioner
35390,1,region_92,Internal medicine / pneumology
35411,1,region_108,Internal medicine / pneumology
35434,1,region_88,Internal medicine / pneumology
35443,1,region_99,Internal medicine / pneumology
35458,2,region_1,General practicioner
35459,2,region_80,General practicioner
35479,1,region_47,Internal medicine
35480,1,region_196,Internal medicine / pneumology
35488,1,region_141,Internal medicine / pneumology
35503,2,region_150,Internal medicine
35505,2,region_11,Internal medicine
35525,2,region_35,Internal medicine
35558,2,region_103,Internal medicine
35562,2,region_124,Internal medicine
35573,1,region_67,Internal medicine / pneumology
35575,2,region_62,Internal medicine
35589,3,region_93,Internal medicine
35597,2,region_86,General practicioner
35629,2,region_11,General practicioner
35660,1,region_154,Internal medicine / pneumology
35663,1,region_135,Internal medicine / pneumology
35704,2,region_69,Internal medicine
35721,1,region_113,Internal medicine
35778,1,region_41,Internal medicine / pneumology
35809,2,region_44,General practicioner
35812,1,region_34,Internal medicine / pneumology
35815,2,region_110,Internal medicine
35817,3,region_118,Internal medicine
35825,2,region_54,General practicioner
35831,1,region_8,Internal medicine / pneumology
35890,2,region_39,Internal medicine
35902,2,region_158,Internal medicine
35917,2,region_30,Internal medicine
35947,2,region_93,General practicioner
35948,1,region_106,Internal medicine / pneumology
35957,2,region_111,Internal medicine
35959,1,region_137,Internal medicine / pneumology
35979,2,region_45,Internal medicine
35990,1,region_107,Internal medicine / pneumology
35992,1,region_112,Internal medicine / pneumology
36002,1,region_42,Internal medicine
36015,1,region_123,Internal medicine / pneumology
36017,1,region_149,Internal medicine / pneumology
36018,1,region_149,Internal medicine / pneumology
36019,1,region_149,Internal medicine / pneumology
36024,1,region_47,Internal medicine / pneumology
36052,1,region_80,Internal medicine / pneumology
36061,1,region_126,Internal medicine / pneumology
36064,1,region_90,Internal medicine / pneumology
36083,1,region_162,Internal medicine / pneumology
36106,1,region_117,Internal medicine / pneumology
36123,1,region_181,Internal medicine / pneumology
36156,2,region_40,Internal medicine
36180,2,region_30,Internal medicine / pneumology
36190,1,region_41,Internal medicine / pneumology
36194,1,region_12,Internal medicine
36195,1,region_108,Internal medicine / pneumology
36198,1,region_78,Internal medicine / pneumology
36207,2,region_187,Internal medicine / pneumology
36226,1,region_180,Internal medicine / pneumology
36266,1,region_35,Internal medicine / pneumology
36268,1,region_75,Internal medicine / pneumology
36274,1,region_37,Internal medicine / pneumology
36304,2,region_52,General practicioner
36305,2,region_22,General practicioner
36329,2,region_102,General practicioner
36344,2,region_161,General practicioner
36347,2,region_200,Internal medicine
36357,2,region_124,Internal medicine
36360,3,region_191,Internal medicine
36379,1,region_114,Internal medicine
36386,2,region_30,Internal medicine
36405,2,region_74,Internal medicine
36412,2,region_200,Internal medicine
36430,2,region_66,General practicioner
36434,2,region_200,General practicioner
36455,2,region_136,Internal medicine
36456,2,region_6,General practicioner
36458,2,region_133,General practicioner
36466,2,region_7,General practicioner
36475,2,region_176,General practicioner
36493,2,region_192,General practicioner
36497,2,region_62,Internal medicine
36500,2,region_68,Internal medicine
36510,2,region_105,Internal medicine
36532,2,region_3,General practicioner
36542,2,region_147,General practicioner
36566,2,region_69,General practicioner
36567,2,region_58,Internal medicine
36587,2,region_88,Internal medicine
36593,2,region_52,General practicioner
36619,2,region_142,Internal medicine
36629,2,region_114,General practicioner
36630,1,region_142,Internal medicine / pneumology
36646,2,region_182,General practicioner
36650,2,region_129,General practicioner
36676,2,region_128,Internal medicine
36688,1,region_15,Internal medicine / pneumology
36694,2,region_164,Internal medicine
36720,1,region_57,Internal medicine / pneumology
36723,1,region_75,Internal medicine / pneumology
36732,2,region_87,General practicioner
36734,2,region_98,General practicioner
36755,1,region_113,Internal medicine / pneumology
36771,2,region_88,Internal medicine
36772,1,region_7,Internal medicine / pneumology
36814,2,region_54,Internal medicine
36817,2,region_194,General practicioner
36821,2,region_13,General practicioner
36847,2,region_65,General practicioner
36855,3,region_112,General practicioner
36858,2,region_121,Internal medicine
36863,3,region_131,General practicioner
36875,3,region_118,General practicioner
36889,2,region_146,Internal medicine
36909,2,region_87,General practicioner
36910,1,region_96,Internal medicine / pneumology
36936,2,region_131,Internal medicine
36937,2,region_179,Internal medicine
36938,2,region_143,Internal medicine
36952,2,region_88,General practicioner
36957,3,region_66,General practicioner
36970,2,region_184,General practicioner
37002,2,region_45,Internal medicine
37034,1,region_175,Internal medicine / pneumology
37039,1,region_175,Internal medicine
37047,1,region_78,Internal medicine / pneumology
37056,1,region_0,Internal medicine / pneumology
37061,1,region_62,Internal medicine / pneumology
37079,2,region_200,Internal medicine
37096,1,region_106,Internal medicine / pneumology
37145,1,region_117,Internal medicine / pneumology
37161,1,region_165,Internal medicine / pneumology
37176,2,region_68,Internal medicine
37187,1,region_159,Internal medicine / pneumology
37189,1,region_45,Internal medicine / pneumology
37195,1,region_39,Internal medicine / pneumology
37220,2,region_18,Internal medicine / pneumology
37224,1,region_123,Internal medicine / pneumology
37249,2,region_188,Internal medicine
37258,1,region_129,Internal medicine / pneumology
37264,2,region_41,Internal medicine
37275,2,region_42,Internal medicine
37297,2,region_108,Internal medicine
37303,3,region_109,General practicioner
37326,1,region_78,Internal medicine / pneumology
37329,2,region_142,Internal medicine
37356,2,region_159,General practicioner
37359,2,region_127,Internal medicine
37362,1,region_165,Internal medicine / pneumology
37367,1,region_165,Internal medicine / pneumology
37368,3,region_191,Internal medicine
37375,1,region_159,Internal medicine / pneumology
37385,1,region_71,Internal medicine / pneumology
37398,2,region_192,General practicioner
37404,2,region_200,General practicioner
37405,1,region_67,Internal medicine / pneumology
37410,1,region_32,Internal medicine / pneumology
37429,2,region_110,Internal medicine
37444,2,region_48,Internal medicine
37454,2,region_29,General practicioner
37456,1,region_177,Internal medicine / pneumology
37457,1,region_156,Internal medicine / pneumology
37477,2,region_156,Internal medicine
37505,3,region_127,Internal medicine
37509,1,region_59,Internal medicine / pneumology
37518,2,region_102,Internal medicine
37528,2,region_79,Internal medicine
37532,1,region_79,Internal medicine / pneumology
37559,1,region_190,Internal medicine / pneumology
37560,1,region_87,Internal medicine / pneumology
37583,2,region_102,Internal medicine
37606,1,region_27,Internal medicine / pneumology
37611,2,region_88,General practicioner
37621,2,region_86,Internal medicine
37622,2,region_25,Internal medicine
37652,2,region_44,General practicioner
37653,2,region_10,General practicioner
37658,1,region_142,Internal medicine / pneumology
37667,2,region_127,General practicioner
37680,2,region_84,Internal medicine
37687,2,region_155,General practicioner
37725,1,region_122,Internal medicine / pneumology
37746,2,region_80,Internal medicine
37758,1,region_48,Internal medicine / pneumology
37765,2,region_74,Internal medicine
37767,1,region_34,Internal medicine / pneumology
37788,2,region_198,Internal medicine
37812,2,region_9,Internal medicine
37819,1,region_47,Internal medicine / pneumology
37843,3,region_180,General practicioner
37878,3,region_131,General practicioner
37882,2,region_154,Internal medicine
37917,2,region_35,General practicioner
37930,2,region_200,Internal medicine and general practicioner
37934,2,region_101,General practicioner
37935,2,region_103,Internal medicine
37947,1,region_117,Internal medicine / pneumology
37951,2,region_187,General practicioner
37973,1,region_180,Internal medicine / pneumology
