hcp,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,hcp,tier,region,specialty
20934,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,20934,2,region_71,Internal medicine
20944,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,20944,2,region_94,Internal medicine / pneumology
20949,300921,2966.39624713,40594.80342422845,42488.72987225042,322,12,235,1,72,20949,1,region_55,Internal medicine / pneumology
20951,330868,216.65785405,44450.70293282685,48142.47639736822,270,8,150,0,36,20951,3,region_46,General practicioner
20952,286989,1398.2630271,46225.63421035833,47728.70389846647,119,3,198,0,39,20952,1,region_5,Internal medicine / pneumology
20992,380484,2415.408229765,40940.71013933051,42379.71159997592,181,16,170,11,39,20992,1,region_162,Internal medicine / pneumology
20993,484396,771.9334331700001,41064.42127819379,41593.11849693459,394,26,227,4,93,20993,1,region_102,Internal medicine
21014,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,21014,1,region_0,Internal medicine / pneumology
21033,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,21033,2,region_70,Internal medicine
21067,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,21067,1,region_179,Internal medicine / pneumology
21113,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,21113,1,region_132,Internal medicine / pneumology
21170,447074,2817.953165215,46686.223972057545,47929.49398845733,352,31,277,8,89,21170,1,region_90,Internal medicine / pneumology
21197,354406,1457.7577504699998,45113.68108180971,46098.726288886704,196,7,162,0,57,21197,1,region_124,Internal medicine / pneumology
21201,431383,4701.726213315,45377.70804101765,47137.854236937215,239,7,273,1,42,21201,1,region_1,Internal medicine / pneumology
21204,425191,5807.495301645,44180.16732596442,45346.0694925717,257,22,272,3,66,21204,1,region_44,Internal medicine / pneumology
21215,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,21215,1,region_0,Internal medicine / pneumology
21238,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,21238,1,region_140,Internal medicine / pneumology
21262,562766,7476.819147085001,39152.99916517007,41230.29230741945,308,9,264,2,72,21262,1,region_86,Internal medicine / pneumology
21269,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,21269,2,region_57,Internal medicine
21301,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,21301,1,region_135,Internal medicine
21314,306165,2858.031053665,50220.94344420296,54501.69478240106,99,6,189,8,18,21314,2,region_169,General practicioner
21322,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,21322,1,region_70,Internal medicine / pneumology
21357,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,21357,2,region_11,General practicioner
21387,485523,1064.39973606,45420.92701120138,46427.26521994213,306,12,251,3,86,21387,2,region_75,General practicioner
21391,526171,12386.29314317,38058.94303442134,39595.49276780699,379,16,264,0,64,21391,2,region_165,Internal medicine
21397,526171,12386.29314317,38058.94303442134,39595.49276780699,379,16,264,0,64,21397,1,region_165,Internal medicine / pneumology
21409,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,21409,2,region_57,General practicioner
21426,308168,3160.04204693,41187.7235264384,42671.80736288608,193,8,182,8,55,21426,2,region_74,General practicioner
21433,472948,7588.07291017,38655.32133304526,40461.44956494922,335,11,264,1,64,21433,1,region_194,Internal medicine / pneumology
21439,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,21439,2,region_45,General practicioner
21451,341233,487.59933681,37386.11459218471,38418.87174140778,165,8,173,3,31,21451,2,region_22,Internal medicine
21458,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,21458,1,region_97,Internal medicine / pneumology
21475,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,21475,2,region_68,General practicioner
21491,557796,5358.519268005,42148.23768011034,44225.43003055763,369,18,293,3,70,21491,2,region_115,General practicioner
21504,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,21504,3,region_36,General practicioner
21505,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,21505,3,region_36,General practicioner
21513,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,21513,2,region_181,General practicioner
21518,320570,801.38097818,41114.92,42843.64,227,18,167,0,82,21518,1,region_126,Internal medicine / pneumology
21540,309066,1766.12951329,47704.58758235771,51167.22010202415,232,14,197,0,46,21540,1,region_79,Internal medicine / pneumology
21554,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,21554,2,region_103,General practicioner
21560,541116,5200.616483475,42154.98186708018,43863.59104463951,332,22,277,4,88,21560,1,region_24,Internal medicine / pneumology
21564,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,21564,2,region_52,General practicioner
21586,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,21586,1,region_71,Internal medicine / pneumology
21635,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,21635,1,region_69,Internal medicine / pneumology
21650,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,21650,2,region_200,General practicioner
21662,380484,2415.408229765,40940.71013933051,42379.71159997592,181,16,170,11,39,21662,1,region_162,General practicioner
21676,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,21676,2,region_154,General practicioner
21789,303208,4751.57647807,43523.60071389123,45486.24426880677,228,10,229,3,18,21789,2,region_12,General practicioner
21792,283879,1942.08355011,40082.98302330007,39900.71505628525,157,5,180,2,31,21792,1,region_100,Internal medicine / pneumology
21857,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,21857,2,region_150,General practicioner
21858,351158,2989.70144003,45617.68604668643,47488.99014213206,165,3,176,6,28,21858,1,region_171,Internal medicine / pneumology
21878,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,21878,1,region_110,Internal medicine / pneumology
21911,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,21911,1,region_52,Internal medicine / pneumology
21914,541116,5200.616483475,42154.98186708018,43863.59104463951,332,22,277,4,88,21914,1,region_24,Internal medicine / pneumology
21915,447074,2817.953165215,46686.223972057545,47929.49398845733,352,31,277,8,89,21915,1,region_90,Internal medicine / pneumology
21934,382877,402.354224945,38901.654186582455,39573.72335237399,458,25,166,3,95,21934,1,region_105,Internal medicine / pneumology
21953,335968,416.6086413050001,38027.8298460016,39058.46124932333,277,25,163,2,45,21953,1,region_122,Internal medicine / pneumology
21967,327674,499.70631512500006,43544.32603542337,46907.49509458998,202,9,212,1,48,21967,1,region_66,Internal medicine
21978,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,21978,1,region_135,Internal medicine / pneumology
22000,479149,4959.219208320001,44052.47967412043,46484.08356658933,448,31,356,3,83,22000,1,region_123,Internal medicine
22007,377823,4136.819455725,46389.67721548156,47843.542264503136,161,6,224,1,33,22007,2,region_192,Internal medicine / pneumology
22019,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,22019,2,region_198,General practicioner
22036,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,22036,1,region_9,Internal medicine / pneumology
22047,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,22047,2,region_30,General practicioner
22082,300921,2966.39624713,40594.80342422845,42488.72987225042,322,12,235,1,72,22082,1,region_55,Internal medicine / pneumology
22087,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,22087,1,region_179,Internal medicine / pneumology
22100,447074,2817.953165215,46686.223972057545,47929.49398845733,352,31,277,8,89,22100,1,region_90,Internal medicine / pneumology
22101,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,22101,2,region_97,Internal medicine / pneumology
22122,321059,484.212641435,36407.895986325166,38638.41764908357,206,20,209,1,52,22122,1,region_96,Internal medicine
22123,526171,12386.29314317,38058.94303442134,39595.49276780699,379,16,264,0,64,22123,2,region_165,Internal medicine
22175,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,22175,1,region_147,Internal medicine
22185,355758,1820.593057845,43284.714982491285,44623.83197198605,260,11,178,2,40,22185,1,region_89,Internal medicine / pneumology
22189,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,22189,1,region_103,Internal medicine / pneumology
22194,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,22194,2,region_154,Internal medicine
22234,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,22234,2,region_159,Internal medicine
22240,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,22240,2,region_200,General practicioner
22248,304452,932.781191195,36395.04423057791,38590.38510757204,292,14,190,3,137,22248,2,region_83,Internal medicine
22286,338623,3775.89347241,37915.1170297293,40325.86556207184,147,7,168,1,48,22286,1,region_152,Internal medicine / pneumology
22304,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,22304,2,region_110,Internal medicine
22319,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,22319,2,region_30,General practicioner
22339,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,22339,2,region_45,General practicioner
22341,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,22341,1,region_179,Internal medicine
22343,308168,3160.04204693,41187.7235264384,42671.80736288608,193,8,182,8,55,22343,2,region_74,General practicioner
22345,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,22345,2,region_54,General practicioner
22395,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,22395,2,region_103,Internal medicine
22434,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,22434,3,region_150,General practicioner
22439,346962,3955.87103625,46117.32468167189,47687.7855694166,269,12,277,1,51,22439,1,region_76,Internal medicine / pneumology
22444,295780,3744.74960892,38182.69732236048,40109.38377772224,123,13,166,3,32,22444,2,region_38,Internal medicine
22452,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,22452,1,region_70,Internal medicine / pneumology
22457,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,22457,1,region_19,Internal medicine / pneumology
22468,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,22468,2,region_87,General practicioner
22472,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,22472,2,region_200,Internal medicine and general practicioner
22473,291799,674.3729127050001,43691.516939022775,45418.82096023784,192,22,141,1,39,22473,2,region_117,General practicioner
22476,299274,1390.91898579,45579.18946596061,48213.45323919848,142,4,163,1,29,22476,2,region_156,Internal medicine
22478,329601,1475.592368275,47762.70492140293,49450.83335672065,158,9,196,1,40,22478,1,region_119,Internal medicine / pneumology
22488,294808,653.61051631,41189.10186526831,42903.32734412834,366,24,178,4,114,22488,1,region_67,Internal medicine / pneumology
22508,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,22508,2,region_52,Internal medicine
22512,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,22512,1,region_71,Internal medicine / pneumology
22533,318026,2574.94384874,42578.01879346831,44456.38959522513,153,5,182,2,47,22533,2,region_2,General practicioner
22540,367538,6688.08064246,41370.782569101866,44005.413325377776,212,8,279,0,34,22540,2,region_197,Internal medicine
22547,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,22547,2,region_52,Internal medicine
22558,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,22558,2,region_52,General practicioner
22578,370427,4000.316021975,37145.88024469353,39115.3131767344,310,16,245,0,110,22578,1,region_73,Internal medicine / pneumology
22585,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,22585,2,region_140,General practicioner
22617,300921,2966.39624713,40594.80342422845,42488.72987225042,322,12,235,1,72,22617,2,region_55,General practicioner
22631,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,22631,1,region_87,Internal medicine / pneumology
22633,306165,2858.031053665,50220.94344420296,54501.69478240106,99,6,189,8,18,22633,2,region_169,Internal medicine and general practicioner
22651,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,22651,2,region_103,Internal medicine
22652,286989,1398.2630271,46225.63421035833,47728.70389846647,119,3,198,0,39,22652,1,region_5,Internal medicine / pneumology
22654,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,22654,3,region_31,General practicioner
22657,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,22657,2,region_198,General practicioner
22658,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,22658,3,region_112,Internal medicine
22664,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,22664,2,region_52,General practicioner
22668,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,22668,1,region_106,Internal medicine / pneumology
22671,376861,181.278347825,39007.52861156623,39888.70805993954,252,18,143,1,43,22671,1,region_41,Internal medicine / pneumology
22672,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,22672,1,region_69,Internal medicine / pneumology
22680,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,22680,1,region_30,Internal medicine / pneumology
22681,528663,1691.3326277750002,39725.23455626566,41274.97668028191,368,15,312,5,125,22681,2,region_157,General practicioner
22682,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,22682,1,region_0,Internal medicine / pneumology
22688,286939,914.55639262,43716.546012520776,44944.29185447118,205,5,129,1,30,22688,1,region_99,Internal medicine / pneumology
22689,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,22689,2,region_87,General practicioner
22736,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,22736,2,region_131,General practicioner
22748,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,22748,2,region_31,General practicioner
22757,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,22757,3,region_150,General practicioner
22775,484396,771.9334331700001,41064.42127819379,41593.11849693459,394,26,227,4,93,22775,2,region_102,Internal medicine
22780,419601,2042.148938805,42777.12682057217,44543.12380541461,308,23,269,14,87,22780,1,region_177,Internal medicine / pneumology
22798,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,22798,2,region_69,Internal medicine
22808,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,22808,1,region_147,Internal medicine / pneumology
22825,309066,1766.12951329,47704.58758235771,51167.22010202415,232,14,197,0,46,22825,1,region_79,Internal medicine / pneumology
22864,481340,433.493165915,47807.095737135656,48998.648530738246,576,26,302,3,223,22864,1,region_61,Internal medicine / pneumology
22872,450441,5917.828732755001,43870.49217398428,44777.67571842571,294,6,287,6,62,22872,1,region_174,Internal medicine / pneumology
22886,484396,771.9334331700001,41064.42127819379,41593.11849693459,394,26,227,4,93,22886,1,region_102,Internal medicine / pneumology
22913,520595,298.050938975,42351.68,43907.92,574,38,370,6,167,22913,1,region_78,Internal medicine / pneumology
22956,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,22956,1,region_36,Internal medicine / pneumology
22983,506991,8524.200649455,36176.71069505399,38543.194751195326,400,24,342,0,90,22983,1,region_191,Internal medicine / pneumology
23021,377517,5009.831310565,42745.55931878676,44445.65818379169,250,10,225,3,46,23021,1,region_91,Internal medicine / pneumology
23039,332784,325.459701525,43045.78196627924,44697.41197536814,241,13,169,2,60,23039,1,region_158,Internal medicine / pneumology
23076,506991,8524.200649455,36176.71069505399,38543.194751195326,400,24,342,0,90,23076,1,region_191,Internal medicine / pneumology
23077,297406,1285.352745595,47256.37179516038,49370.94623147627,227,6,193,1,120,23077,1,region_139,Internal medicine / pneumology
23088,377823,4136.819455725,46389.67721548156,47843.542264503136,161,6,224,1,33,23088,1,region_192,Internal medicine / pneumology
23108,323713,3780.938178465,45305.47325376525,47016.396650179406,155,6,227,7,29,23108,1,region_82,Internal medicine / pneumology
23111,450441,5917.828732755001,43870.49217398428,44777.67571842571,294,6,287,6,62,23111,1,region_174,Internal medicine
23120,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,23120,1,region_51,Internal medicine / pneumology
23180,332784,325.459701525,43045.78196627924,44697.41197536814,241,13,169,2,60,23180,1,region_158,Internal medicine
23198,421289,3113.32368869,35661.32746899459,37117.66933250681,351,25,283,0,96,23198,2,region_170,General practicioner
23208,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,23208,1,region_147,Internal medicine
23218,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,23218,3,region_109,General practicioner
23230,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,23230,2,region_51,Internal medicine
23231,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,23231,1,region_109,Internal medicine / pneumology
23237,455048,6138.053380519999,45493.38136373606,47721.6925757523,235,5,299,1,43,23237,1,region_13,Internal medicine / pneumology
23261,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,23261,3,region_109,Internal medicine
23280,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,23280,2,region_57,General practicioner
23314,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,23314,2,region_68,General practicioner
23342,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,23342,1,region_19,Internal medicine / pneumology
23364,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,23364,2,region_69,General practicioner
23368,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,23368,2,region_49,Internal medicine
23387,314806,2534.158220455,47367.52382688499,49336.47839500663,184,6,154,2,32,23387,2,region_143,Internal medicine
23398,332380,507.6016706,42316.17861056367,43408.66203256296,164,11,169,4,59,23398,1,region_80,Internal medicine / pneumology
23400,310970,1880.20151759,47511.92217428117,49662.107411031626,155,3,188,10,42,23400,1,region_183,Internal medicine / pneumology
23403,316807,3603.3811201,41629.98865230625,42975.82194855097,266,14,226,5,48,23403,2,region_18,Internal medicine
23412,543989,730.58755008,47906.89504039801,49401.83082252559,326,26,212,1,58,23412,1,region_142,Internal medicine
23420,317306,2356.435878145,45486.02729761217,47191.59323256421,316,14,283,3,100,23420,2,region_148,General practicioner
23439,332380,507.6016706,42316.17861056367,43408.66203256296,164,11,169,4,59,23439,2,region_80,General practicioner
23446,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,23446,2,region_200,Internal medicine
23449,547068,6396.314308025,48518.205716833865,51052.264521926285,489,19,470,3,128,23449,3,region_127,Internal medicine
23457,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,23457,3,region_106,General practicioner
23471,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,23471,2,region_110,General practicioner
23496,440131,3287.587080525,43000.8336181825,44831.05120063922,190,3,268,4,42,23496,1,region_42,Internal medicine / pneumology
23497,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,23497,2,region_52,General practicioner
23504,332866,165.88248338,48733.12857084881,51093.07993379515,431,18,193,2,130,23504,2,region_164,Internal medicine
23509,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,23509,1,region_95,Internal medicine / pneumology
23531,308241,156.10671718999998,42698.6,44586.08,318,30,216,2,65,23531,2,region_114,Internal medicine
23556,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,23556,2,region_198,General practicioner
23572,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,23572,1,region_21,Internal medicine / pneumology
23577,333102,3186.47850519,43023.98283073583,44434.53943890139,279,15,245,1,80,23577,2,region_130,Internal medicine / pneumology
23590,308241,156.10671718999998,42698.6,44586.08,318,30,216,2,65,23590,2,region_114,General practicioner
23599,348086,4164.570398015,46186.5592866436,47424.04679007741,264,17,280,4,70,23599,3,region_137,Internal medicine
23628,286939,914.55639262,43716.546012520776,44944.29185447118,205,5,129,1,30,23628,2,region_99,General practicioner
23637,460276,9206.65557772,39050.252471103886,41542.62919406537,361,19,256,2,111,23637,2,region_121,General practicioner
23649,506991,8524.200649455,36176.71069505399,38543.194751195326,400,24,342,0,90,23649,1,region_191,Internal medicine / pneumology
23676,321059,484.212641435,36407.895986325166,38638.41764908357,206,20,209,1,52,23676,1,region_96,Internal medicine / pneumology
23693,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,23693,2,region_179,Internal medicine
23696,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,23696,3,region_109,General practicioner
23706,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,23706,2,region_49,Internal medicine
23712,293343,407.8559437,40265.62161036467,42784.034367451575,164,10,182,1,48,23712,2,region_184,General practicioner
23739,320570,801.38097818,41114.92,42843.64,227,18,167,0,82,23739,1,region_126,Internal medicine / pneumology
23763,318320,1343.252950395,38835.608064370106,40121.11202265365,179,10,134,2,48,23763,2,region_146,Internal medicine
23775,342104,85.250473665,38649.24,41105.12,502,21,204,2,157,23775,2,region_8,Internal medicine
23777,394741,1285.75708184,40764.27991706653,41856.11769050817,445,22,237,5,112,23777,1,region_176,Internal medicine / pneumology
23786,376861,181.278347825,39007.52861156623,39888.70805993954,252,18,143,1,43,23786,1,region_41,Internal medicine / pneumology
23787,380484,2415.408229765,40940.71013933051,42379.71159997592,181,16,170,11,39,23787,1,region_162,Internal medicine / pneumology
23822,327674,499.70631512500006,43544.32603542337,46907.49509458998,202,9,212,1,48,23822,1,region_66,Internal medicine / pneumology
23828,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,23828,1,region_11,Internal medicine / pneumology
23861,309066,1766.12951329,47704.58758235771,51167.22010202415,232,14,197,0,46,23861,1,region_79,Internal medicine / pneumology
23905,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,23905,1,region_9,Internal medicine / pneumology
23943,300921,2966.39624713,40594.80342422845,42488.72987225042,322,12,235,1,72,23943,1,region_55,Internal medicine
23945,300469,2849.552513615,41149.039535878575,42838.21028554375,146,6,186,0,22,23945,2,region_64,Internal medicine
23960,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,23960,1,region_131,Internal medicine / pneumology
23981,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,23981,1,region_150,Internal medicine / pneumology
23992,421289,3113.32368869,35661.32746899459,37117.66933250681,351,25,283,0,96,23992,1,region_170,Internal medicine / pneumology
23994,392442,1013.9402787699998,43137.67692133163,45189.593294747385,224,22,230,0,83,23994,1,region_23,Internal medicine / pneumology
23995,407943,451.9983656349999,38641.22388687272,41094.34746902544,510,40,246,3,137,23995,1,region_7,Internal medicine
24020,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,24020,1,region_52,Internal medicine / pneumology
24029,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,24029,1,region_131,Internal medicine / pneumology
24031,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,24031,1,region_63,Internal medicine
24080,347761,1339.813459055,47802.37814017809,49087.416077910646,190,20,162,0,37,24080,1,region_27,Internal medicine / pneumology
24091,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,24091,1,region_34,Internal medicine / pneumology
24102,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,24102,2,region_181,Internal medicine / pneumology
24106,412758,262.50533,33646.83741609315,34253.270249104906,259,22,169,1,94,24106,1,region_35,Internal medicine / pneumology
24128,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,24128,3,region_106,General practicioner
24144,425191,5807.495301645,44180.16732596442,45346.0694925717,257,22,272,3,66,24144,2,region_44,Internal medicine
24154,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,24154,2,region_52,General practicioner
24189,482893,3898.254462595,38438.67922370908,40617.00756959213,246,17,234,1,54,24189,2,region_188,Internal medicine
24214,506991,8524.200649455,36176.71069505399,38543.194751195326,400,24,342,0,90,24214,1,region_191,Internal medicine / pneumology
24222,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,24222,2,region_110,General practicioner
24223,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,24223,3,region_131,Internal medicine
24238,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,24238,1,region_109,Internal medicine / pneumology
24259,294282,2862.656662375,42983.715631831335,45145.98131152131,176,7,155,14,39,24259,2,region_138,Internal medicine / pneumology
24263,343861,3639.37347845,46856.49217012814,48564.22884077264,181,11,206,0,30,24263,2,region_3,General practicioner
24283,297431,4301.17943823,42278.25328549039,44991.420411256375,217,11,212,2,31,24283,1,region_151,Internal medicine / pneumology
24290,310970,1880.20151759,47511.92217428117,49662.107411031626,155,3,188,10,42,24290,2,region_183,General practicioner
24297,391532,3316.75517724,47519.70816595854,49510.326313550206,293,13,298,5,84,24297,1,region_167,Internal medicine / pneumology
24307,307451,4884.173328565,40415.68402083505,42711.47798117365,212,8,178,1,23,24307,2,region_155,General practicioner
24308,346466,1716.0610216599998,47436.18452205252,48289.027765684055,171,6,195,4,41,24308,2,region_53,General practicioner
24312,320570,801.38097818,41114.92,42843.64,227,18,167,0,82,24312,2,region_126,Internal medicine
24319,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,24319,1,region_200,Internal medicine / pneumology
24322,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,24322,1,region_21,Internal medicine / pneumology
24323,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,24323,1,region_140,Internal medicine / pneumology
24331,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,24331,2,region_68,General practicioner
24374,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,24374,2,region_200,Internal medicine and general practicioner
24383,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,24383,2,region_88,Internal medicine
24403,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,24403,2,region_95,Internal medicine
24407,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,24407,3,region_36,Internal medicine
24411,484396,771.9334331700001,41064.42127819379,41593.11849693459,394,26,227,4,93,24411,2,region_102,Internal medicine
24426,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,24426,2,region_200,General practicioner
24440,369052,3275.78259817,42065.28551441394,43984.385596682885,223,22,262,0,51,24440,2,region_182,General practicioner
24446,369052,3275.78259817,42065.28551441394,43984.385596682885,223,22,262,0,51,24446,2,region_182,General practicioner
24475,440131,3287.587080525,43000.8336181825,44831.05120063922,190,3,268,4,42,24475,2,region_42,General practicioner
24490,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,24490,1,region_9,Internal medicine / pneumology
24496,370839,1494.73248102,40379.71370238046,42361.48199891709,316,19,228,2,68,24496,1,region_175,Internal medicine / pneumology
24505,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,24505,2,region_131,General practicioner
24509,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,24509,2,region_49,Internal medicine
24538,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,24538,2,region_140,Internal medicine
24548,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,24548,1,region_106,Internal medicine / pneumology
24552,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,24552,2,region_87,Internal medicine
24559,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,24559,2,region_19,General practicioner
